;Tabela 4 - Unidades domésticas, por sexo das pessoas responsáveis pelos domicílios particulares permanentes,;;;;;;;;;
;total e respectiva distribuição percentual por número de responsáveis, segundo os ;;;;;;;;;
;municípios e as classes de tamanho da população dos municípios - Maranhão - 2010;;;;;;;;;
;;;;;;;;;;
Código dos municípios;Municípios e classes de tamanho da população dos municípios (habitantes);Unidades domésticas, por sexo das pessoas responsáveis pelos domicílios particulares permanentes;;;;;;;;
;;Total;;;Homem;;;Mulher;;
;;"Total
(1)";"Distribuição percentual
(%)";;"Total
(1)";"Distribuição percentual
(%)";;"Total
(1)";"Distribuição percentual
(%)";
;;;"Único
responsável";"Com mais
de 1
responsável";;"Único
responsável";"Com mais
de 1
responsável";;"Único
responsável";"Com mais
de 1
responsável"
;               Maranhão; 1 653 701;67,2;32,7;  969 288;64,8;35,2;  684 413;70,7;29,3
;Até 5.000 ;  6 910;60,7;39,3;  4 545;56,1;43,9;  2 365;69,3;30,7
2105658;Junco do Maranhão;   986;61,3;38,7;   655;57,1;42,9;   331;69,5;30,5
2107258;Nova Colinas;  1 188;59,2;40,8;   701;57,9;42,1;   487;61,0;39,0
2107308;Nova Iorque;  1 207;63,4;36,5;   744;54,4;45,4;   463;77,8;22,3
2110807;São Félix de Balsas;  1 212;64,9;35,2;   904;61,1;38,9;   308;76,0;24,0
2111573;São Pedro dos Crentes;  1 105;66,2;33,9;   774;66,2;33,9;   331;66,2;33,8
2111953;Sucupira do Riachão;  1 212;49,7;50,3;   767;39,4;60,6;   445;67,4;32,6
;De 5.001 a 10.000 ;  53 862;58,8;41,2;  34 012;56,4;43,6;  19 850;63,0;36,9
2100105;Afonso Cunha;  1 303;49,5;50,5;   745;43,9;56,1;   558;57,0;43,0
2100550;Amapá do Maranhão;  1 503;41,1;58,9;   879;34,5;65,4;   624;50,3;49,7
2101350;Bacurituba;  1 397;58,1;41,9;   696;60,1;39,9;   701;56,2;43,8
2101731;Belágua;  1 265;44,5;55,5;   978;42,4;57,6;   287;51,6;48,4
2101806;Benedito Leite;  1 419;62,8;37,2;   770;66,5;33,5;   649;58,4;41,6
2101939;Bernardo do Mearim;  1 496;67,5;32,5;  1 075;61,8;38,1;   421;82,0;18,1
2101970;Boa Vista do Gurupi;  1 817;65,9;34,1;   988;58,2;41,8;   829;75,2;24,9
2102150;Brejo de Areia;  1 274;37,9;62,1;   814;28,5;71,5;   460;54,6;45,4
2102374;Cachoeira Grande;  1 770;72,3;27,7;  1 175;70,9;29,1;   595;75,0;24,9
2103125;Central do Maranhão;  1 979;59,6;40,3;  1 090;54,9;45,1;   889;65,5;34,4
2104073;Feira Nova do Maranhão;  1 987;60,9;39,1;  1 605;56,7;43,2;   382;78,3;21,7
2104081;Fernando Falcão;  1 881;77,4;22,7;  1 380;78,6;21,4;   501;73,9;26,2
2104628;Governador Luiz Rocha;  1 892;43,4;56,5;  1 309;35,9;64,0;   583;60,2;39,6
2104701;Graça Aranha;  1 698;71,8;28,1;  1 003;66,7;33,3;   695;79,1;20,6
2105450;Jatobá;  2 138;74,3;25,7;  1 501;74,2;25,8;   637;74,6;25,4
2105948;Lago dos Rodrigues;  2 061;51,7;48,2;  1 206;51,2;48,8;   855;52,4;47,4
2105989;Lajeado Novo;  1 831;57,3;42,6;  1 394;52,7;47,2;   437;72,1;27,7
2106201;Luís Domingues;  1 587;57,6;42,4;   821;59,2;40,8;   766;55,9;44,1
2106359;Marajá do Sena;  1 759;77,4;22,5;  1 286;86,6;13,4;   473;52,4;47,4
2106672;Milagres do Maranhão;  1 799;57,1;42,9;  1 259;55,1;44,9;   540;61,7;38,3
2107001;Montes Altos;  2 388;64,1;35,8;  1 572;62,3;37,7;   816;67,7;32,2
2109056;Porto Rico do Maranhão;  1 560;57,8;42,1;   897;56,1;43,9;   663;60,2;39,7
2109239;Presidente Médici;  1 473;47,4;52,5;   918;38,5;61,6;   555;62,2;37,5
2109551;Ribamar Fiquene;  1 896;62,3;37,7;  1 292;59,0;40,9;   604;69,4;30,6
2109700;Sambaíba;  1 369;70,3;29,7;   676;58,1;41,7;   693;82,1;17,9
2109759;Santa Filomena do Maranhão;  1 752;47,7;52,3;   957;45,6;54,4;   795;50,3;49,7
2110658;São Domingos do Azeitão;  1 679;62,6;37,4;   945;60,1;39,9;   734;65,8;34,2
2111250;São José dos Basílios;  1 868;52,0;48,0;  1 002;51,0;49,0;   866;53,1;46,9
2111631;São Raimundo do Doca Bezerra;  1 396;59,1;40,8;   887;60,2;39,8;   509;57,2;42,6
2111672;São Roberto;  1 316;53,7;46,2;  1 026;47,6;52,4;   290;75,5;24,1
2112001;Tasso Fragoso;  1 936;39,9;60,1;  1 172;35,8;64,3;   764;46,2;53,8
2112274;Tufilândia;  1 373;61,9;38,1;   694;65,0;35,0;   679;58,8;41,2
;De 10.001 a 20.000 ;  306 258;64,6;35,4;  188 877;62,8;37,2;  117 381;67,5;32,5
2100154;Água Doce do Maranhão;  2 728;52,7;47,3;  1 523;51,0;48,9;  1 205;54,9;45,2
2100402;Altamira do Maranhão;  2 635;82,8;17,2;  1 626;81,7;18,3;  1 009;84,5;15,5
2100501;Alto Parnaíba;  2 636;49,9;50,1;  1 727;44,4;55,7;   909;60,5;39,5
2100808;Anapurus;  3 326;58,6;41,4;  2 313;55,2;44,8;  1 013;66,4;33,6
2100832;Apicum-Açu;  3 390;57,5;42,5;  1 706;56,3;43,7;  1 684;58,7;41,3
2100873;Araguanã;  3 048;80,3;19,7;  2 319;82,5;17,5;   729;73,1;26,9
2101103;Axixá;  2 545;54,4;45,5;  1 469;49,4;50,7;  1 076;61,3;38,5
2101251;Bacabeira;  3 657;64,9;35,0;  2 112;62,3;37,7;  1 545;68,5;31,3
2101301;Bacuri;  4 210;65,1;34,9;  2 200;58,9;41,1;  2 010;71,8;28,2
2101509;Barão de Grajaú;  4 726;76,4;23,6;  2 866;75,2;24,8;  1 860;78,1;21,8
2101772;Bela Vista do Maranhão;  2 978;53,5;46,4;  1 654;51,8;48,1;  1 324;55,6;44,3
2102077;Bom Lugar;  3 520;62,0;38,0;  2 256;66,5;33,5;  1 264;53,9;46,0
2102358;Buritirana;  3 775;69,7;30,3;  2 690;67,1;32,8;  1 085;76,0;24,0
2102408;Cajapió;  2 590;68,2;31,8;  1 653;65,0;35,0;   937;73,8;26,3
2102507;Cajari;  4 308;73,0;26,9;  2 610;76,1;23,9;  1 698;68,3;31,6
2102556;Campestre do Maranhão;  3 518;61,6;38,4;  2 252;60,8;39,2;  1 266;63,1;36,8
2102606;Cândido Mendes;  4 176;56,4;43,6;  2 228;57,7;42,2;  1 948;54,8;45,2
2102754;Capinzal do Norte;  2 880;81,6;18,4;  1 629;82,1;17,9;  1 251;81,0;19,0
2103109;Cedral;  2 597;66,7;33,3;  1 241;64,6;35,4;  1 356;68,5;31,4
2103158;Centro do Guilherme;  2 593;67,8;32,2;  1 980;63,9;36,1;   613;80,3;19,7
2103174;Centro Novo do Maranhão;  3 946;59,5;40,5;  2 813;60,6;39,4;  1 133;56,7;43,3
