;Tabela 2 - População residente, total e respectiva distribuição percentual, ;;;;;;;;
; por situação do domicílio e grupos de idade, segundo os municípios e;;;;;;;;
;as classes de tamanho da população dos municípios - Maranhão - 2010;;;;;;;;
;;;;;;;;(conclusão);
Código do Município;Municípios e classes de tamanho da população dos municípios (habitantes);População residente;;;;;;;
;;Total;Distribuição percentual, por grupos de idade (%);;;;;;
;;;0 a 5 anos;6 a 14 anos;15 a 24 anos;25 a 39 anos;40 a 59 anos;60 anos ou mais;
;Rural;;;;;;;;
2102606;Cândido Mendes;  6 594;15,1;22,3;21,5;19,5;15,3;6,5;
2102754;Capinzal do Norte;  5 088;12,7;19,5;20,0;20,0;18,0;9,9;
2103109;Cedral;  7 900;10,3;18,6;19,8;22,8;18,4;10,1;
2103158;Centro do Guilherme;  5 493;15,2;24,6;21,9;18,4;14,0;5,9;
2103174;Centro Novo do Maranhão;  12 100;15,4;23,3;19,9;23,4;13,7;4,3;
2103257;Cidelândia;  7 645;13,1;20,8;18,6;20,6;17,5;9,5;
2103554;Conceição do Lago-Açu;  7 567;15,9;24,3;18,9;19,5;14,7;6,7;
2103752;Davinópolis;  2 092;10,1;21,5;19,7;20,2;16,2;12,4;
2103901;Duque Bacelar;  5 309;13,8;22,8;21,2;18,0;16,0;8,2;
2104008;Esperantinópolis;  8 417;12,7;20,6;20,8;20,2;16,6;9,2;
2104099;Formosa da Serra Negra;  11 842;12,2;22,8;21,3;21,1;15,7;7,0;
2104107;Fortaleza dos Nogueiras;  4 627;10,7;20,9;21,6;19,7;18,6;8,6;
2104206;Fortuna;  5 594;14,5;22,1;19,1;17,3;17,2;9,8;
2104305;Godofredo Viana;  3 912;12,4;22,1;20,5;22,4;16,6;6,0;
2104404;Gonçalves Dias;  9 712;12,9;20,0;18,7;21,2;17,7;9,5;
2104503;Governador Archer;  3 575;13,5;20,6;20,1;19,9;16,5;9,3;
2104552;Governador Edison Lobão;  8 938;11,4;19,9;19,8;22,8;17,0;9,1;
2104602;Governador Eugênio Barros;  11 301;13,0;21,6;19,4;19,6;16,4;10,0;
2104651;Governador Newton Bello;  7 630;14,4;23,4;20,1;21,2;14,7;6,3;
2104909;Guimarães;  5 172;10,1;19,0;19,2;20,4;17,7;13,6;
2105153;Igarapé do Meio;  6 343;14,9;22,4;21,4;19,0;15,0;7,3;
2105203;Igarapé Grande;  4 377;10,4;17,2;18,5;23,8;19,4;10,6;
2105351;Itaipava do Grajaú;  10 001;14,3;23,1;21,7;20,0;13,7;7,3;
2105476;Jenipapo dos Vieiras;  12 921;15,9;23,2;20,6;20,6;12,3;7,3;
2105609;Joselândia;  9 473;13,0;21,0;20,6;19,9;16,3;9,2;
2105807;Lago do Junco;  6 816;12,0;22,0;21,1;20,4;17,1;7,4;
2105906;Lago Verde;  10 360;14,2;23,1;20,1;19,5;15,2;8,0;
2105922;Lagoa do Mato;  6 481;10,5;19,1;21,4;20,4;18,6;10,2;
2105963;Lagoa Grande do Maranhão;  5 018;14,0;23,9;21,9;19,3;15,4;5,6;
2106003;Lima Campos;  4 630;12,7;18,8;19,1;20,0;18,3;11,0;
2106102;Loreto;  5 030;11,0;20,6;22,5;20,3;17,4;8,2;
2106300;Magalhães de Almeida;  8 624;11,6;19,6;21,3;22,2;16,1;9,2;
2106326;Maracaçumé;  3 326;13,5;21,9;20,5;20,0;15,5;8,5;
2106375;Maranhãozinho;  5 045;15,2;21,9;21,1;20,9;15,1;5,8;
2106409;Mata Roma;  8 018;15,4;22,7;19,9;19,2;14,8;8,0;
2106631;Matões do Norte;  9 115;11,6;21,6;19,8;22,6;17,3;7,1;
2106805;Mirinzal;  5 187;11,7;20,5;21,1;19,5;16,6;10,6;
2107100;Morros;  11 063;15,4;26,5;20,7;17,5;13,2;6,8;
2107209;Nina Rodrigues;  8 025;15,6;26,1;20,6;18,0;13,7;6,0;
2107357;Nova Olinda do Maranhão;  7 272;12,2;21,1;20,6;21,0;16,9;8,2;
2107407;Olho d'Água das Cunhãs;  9 009;10,4;20,0;19,7;22,8;17,7;9,4;
2107456;Olinda Nova do Maranhão;  7 200;12,1;21,3;21,5;20,2;16,3;8,7;
2107605;Palmeirândia;  15 305;12,3;19,1;20,7;22,0;16,7;9,2;
2107902;Passagem Franca;  7 098;13,2;21,3;17,9;20,0;18,2;9,4;
2108009;Pastos Bons;  5 760;11,7;19,1;18,5;20,6;18,9;11,2;
