;Tabela 14 - Taxa de analfabetismo da população de 15 anos ou mais de idade, ;;;;;;;;
;por grupos de idade, segundo os municípios e as classes de tamanho;;;;;;;;
;da população dos municípios - Maranhão - 2000/ 2010;;;;;;;;
;;;;;;;;;
Código do município;Municípios e classes de tamanho da população dos municípios (habitantes) (1);Taxa de analfabetismo da população de 15 anos ou mais de idade por grupos de idade (%);;;;;;;
;;Total;;Grupos de idade;;;;;
;;;;15 anos a 24 anos;;25 anos a 59 anos;;60 anos ou mais;
;;2000;2010;2000;2010;2000;2010;2000;2010
;               Maranhão;28,4;20,9;14,2;5,9;30,5;21,4;62,6;53,9
;Até 5.000 ;38,9;27,1;22,5;6,8;42,0;29,2;71,5;59,7
2105658;Junco do Maranhão;38,0;27,2;21,1;6,3;43,5;30,6;73,6;66,5
2107258;Nova Colinas;28,1;22,5;11,9;4,4;31,4;22,2;72,2;63,1
2107308;Nova Iorque;37,0;30,8;19,6;8,6;37,9;32,2;69,1;61,6
2110807;São Félix de Balsas;32,6;29,6;19,7;10,3;33,9;31,9;61,9;57,0
2111573;São Pedro dos Crentes;22,4;19,1;11,2;4,6;23,5;20,9;57,1;48,0
2111953;Sucupira do Riachão;36,5;33,0;17,6;6,9;39,8;36,8;64,4;61,9
;De 5.001 a 10.000 ;37,0;28,6;19,0;8,2;41,4;31,1;70,9;63,9
2100105;Afonso Cunha;42,2;34,6;19,6;7,2;48,4;40,9;83,3;82,3
2100550;Amapá do Maranhão;39,4;33,3;21,7;9,4;46,9;38,4;77,0;76,9
2101350;Bacurituba;35,6;23,9;15,2;4,7;38,6;23,6;63,3;53,7
2101731;Belágua;52,8;39,2;35,6;11,7;58,5;49,0;82,5;84,0
2101806;Benedito Leite;34,3;29,2;18,5;7,2;33,6;29,4;66,4;65,1
2101939;Bernardo do Mearim;37,3;26,8;17,7;6,5;41,2;27,5;71,3;57,3
2101970;Boa Vista do Gurupi;29,1;23,7;14,0;5,9;32,6;26,2;62,3;61,6
2102150;Brejo de Areia;48,3;35,1;33,6;12,2;53,6;40,9;78,6;72,8
2102374;Cachoeira Grande;42,4;30,4;24,8;10,4;47,2;35,3;75,2;67,9
2103125;Central do Maranhão;35,9;26,7;14,5;5,6;39,7;28,4;73,1;64,3
2104073;Feira Nova do Maranhão;32,6;19,8;16,9;3,9;35,2;19,7;70,3;53,8
2104081;Fernando Falcão;55,6;38,1;47,0;15,8;55,9;44,8;82,1;70,1
2104628;Governador Luiz Rocha;40,0;30,9;17,3;8,2;47,0;32,8;75,5;69,7
2104701;Graça Aranha;33,7;30,1;14,3;7,9;37,8;30,1;67,2;66,1
2105450;Jatobá;39,9;32,4;19,8;9,1;46,2;36,3;75,6;70,4
2105948;Lago dos Rodrigues;38,3;30,1;19,4;6,2;42,0;31,2;73,2;65,1
2105989;Lajeado Novo;26,8;18,7;11,8;4,6;28,2;18,7;63,1;47,9
2106201;Luís Domingues;25,1;19,4;10,2;5,7;26,2;20,2;60,3;50,8
2106359;Marajá do Sena;50,5;40,0;38,8;18,6;55,6;47,9;76,5;74,0
2106672;Milagres do Maranhão;42,0;35,4;22,6;10,9;47,4;40,5;74,6;71,6
2107001;Montes Altos;26,9;19,8;9,4;4,4;29,0;18,6;64,1;52,0
2109056;Porto Rico do Maranhão;20,7;15,5;6,0;1,9;22,3;12,9;58,3;46,3
2109239;Presidente Médici;35,9;25,7;13,2;4,1;42,4;26,5;71,3;70,4
2109551;Ribamar Fiquene;27,0;21,8;10,3;3,4;30,1;21,9;67,2;63,1
