;Tabela 11 - Razão entre médias do rendimento mensal total nominal, das ;;;;;
;pessoas de 10 anos ou mais de idade residentes em domicílios particulares permanentes, por cor ou raça, ;;;;;
;segundo os municípios e as classes de tamanho da população dos municípios - Maranhão - 2010;;;;;
;;;;;;
Código do município;Municípios e classes de tamanho da população dos municípios (habitantes);Razão entre médias do rendimento mensal total nominal, por cor ou raça;;;;
;;"Branca/Preta
(A/B)";"Branca/Parda
(A/C)";"Branca/Amarela
(A/D)";"Branca/Indígena
(A/E)";"Preta/Parda
(B/C)"
2104909;Guimarães;1,2;1,3;0,7;0,6;1,1
2105153;Igarapé do Meio;1,2;1,2;1,2;2,2;1,0
2105203;Igarapé Grande;1,1;1,2;1,7;1,2;1,1
2105351;Itaipava do Grajaú;1,2;1,2;1,3;1,3;1,1
2105476;Jenipapo dos Vieiras;1,2;1,1;1,3;1,2;1,0
2105609;Joselândia;1,2;1,3;1,2;1,7;1,1
2105807;Lago do Junco;1,4;1,4;1,1;2,2;1,0
2105906;Lago Verde;1,0;1,1;1,3;-;1,1
2105922;Lagoa do Mato;1,5;1,2;1,1;0,7;0,8
2105963;Lagoa Grande do Maranhão;1,0;1,0;1,0;-;1,1
2106003;Lima Campos;1,4;1,2;1,0;1,8;0,8
2106102;Loreto;1,3;1,5;1,2;1,3;1,1
2106300;Magalhães de Almeida;1,3;1,2;1,0;0,2;0,9
2106326;Maracaçumé;1,3;1,4;1,7;2,0;1,1
2106375;Maranhãozinho;1,0;1,1;1,1;0,9;1,1
2106409;Mata Roma;1,5;1,3;1,2;-;0,9
2106631;Matões do Norte;1,3;1,2;1,5;1,0;0,9
2106805;Mirinzal;1,6;1,6;1,0;1,4;1,0
2107100;Morros;1,1;1,3;0,8;2,2;1,1
2107209;Nina Rodrigues;1,3;1,3;1,7;1,4;1,0
2107357;Nova Olinda do Maranhão;1,2;1,3;1,4;1,1;1,1
2107407;Olho d'Água das Cunhãs;1,3;1,1;1,3;0,4;0,9
2107456;Olinda Nova do Maranhão;1,5;1,4;1,6;1,1;0,9
2107605;Palmeirândia;1,2;1,2;1,0;0,8;1,0
2107902;Passagem Franca;1,5;1,2;1,6;1,3;0,8
2108009;Pastos Bons;1,7;1,6;1,3;1,3;1,0
2108058;Paulino Neves;0,8;1,1;1,2;-;1,4
2108405;Peri Mirim;1,1;1,2;0,9;1,0;1,1
2108801;Pirapemas;1,1;1,3;1,3;1,1;1,2
2108900;Poção de Pedras;1,4;1,4;1,0;0,9;1,0
2109205;Presidente Juscelino;1,6;1,3;1,6;1,8;0,8
2109270;Presidente Sarney;1,1;1,0;1,2;0,4;1,0
2109304;Presidente Vargas;1,2;1,3;0,9;-;1,0
2109403;Primeira Cruz;1,0;1,2;1,1;-;1,2
2110237;Santana do Maranhão;1,1;1,2;1,3;1,4;1,1
2110278;Santo Amaro do Maranhão;0,9;1,0;1,0;3,6;1,0
2110302;Santo Antônio dos Lopes;1,4;1,3;1,2;2,1;0,9
2110401;São Benedito do Rio Preto;1,7;1,3;1,7;-;0,8
2110856;São Francisco do Brejão;1,3;1,2;1,1;1,2;1,0
2110906;São Francisco do Maranhão;1,2;1,2;1,3;2,1;1,0
2111003;São João Batista;1,2;1,1;1,2;-;1,0
2111029;São João do Carú;1,0;1,0;1,0;1,3;1,0
2111052;São João do Paraíso;1,4;1,3;1,2;-;0,9
2111078;São João do Soter;1,1;1,2;1,2;1,6;1,1
2111532;São Pedro da Água Branca;1,4;1,4;1,7;2,7;1,0
2111607;São Raimundo das Mangabeiras;1,6;1,6;1,3;1,7;1,0
2111722;Satubinha;1,3;1,2;1,0;1,5;0,9
2111748;Senador Alexandre Costa;1,3;1,2;1,1;0,8;0,9
2111763;Senador La Rocque;1,2;1,3;1,1;1,2;1,1
2111789;Serrano do Maranhão;1,2;1,1;1,4;1,7;0,9
2111805;Sítio Novo;1,4;1,5;1,4;1,6;1,0
2111904;Sucupira do Norte;1,5;1,5;1,5;0,8;1,0
2112233;Trizidela do Vale;1,3;1,3;1,3;1,2;1,0
2112852;Vila Nova dos Martírios;1,2;1,2;0,9;1,0;1,0
;De 20.001 a 50.000 ;1,4;1,4;1,2;1,7;1,0
2100204;Alcântara;1,4;1,3;1,0;0,9;1,0
2100303;Aldeias Altas;1,2;1,1;1,1;1,1;0,9
2100436;Alto Alegre do Maranhão;1,3;1,3;1,3;0,9;1,0
2100477;Alto Alegre do Pindaré;1,2;1,1;1,1;3,0;0,9
2100600;Amarante do Maranhão;1,3;1,2;1,0;1,6;1,0
2100709;Anajatuba;1,1;1,2;0,8;0,7;1,1
2100907;Araioses;1,2;1,2;1,2;1,5;1,0
2100956;Arame;1,3;1,2;0,2;1,6;1,0
2101004;Arari;1,3;1,4;0,8;0,9;1,1
2101905;Bequimão;1,2;1,2;1,0;0,7;1,0
2102002;Bom Jardim;1,4;1,4;1,2;1,6;1,0
2102036;Bom Jesus das Selvas;1,4;1,3;1,5;1,5;0,9
2102101;Brejo;1,5;1,5;1,5;1,6;1,0
2102200;Buriti;1,8;1,8;2,1;5,3;1,0
2102309;Buriti Bravo;1,6;1,4;1,3;-;0,9
2102705;Cantanhede;1,2;1,3;1,4;2,6;1,1
2102804;Carolina;1,7;1,4;1,4;1,5;0,8
2102903;Carutapera;1,6;1,6;1,8;2,1;1,0
2103406;Coelho Neto;1,5;1,4;1,2;0,9;0,9
2103505;Colinas;1,6;1,5;1,5;1,8;0,9
2103703;Cururupu;1,3;1,3;1,0;1,1;1,0
2103802;Dom Pedro;1,4;1,5;1,7;1,4;1,1
2104057;Estreito;1,3;1,5;1,1;1,8;1,1
2104677;Governador Nunes Freire;1,5;1,5;1,5;2,5;1,0
2105005;Humberto de Campos;1,0;1,1;1,1;1,0;1,1
2105104;Icatu;1,5;1,5;1,3;5,5;1,0
2105427;Itinga do Maranhão;1,3;1,4;1,6;1,9;1,1
2105500;João Lisboa;1,2;1,2;1,1;1,3;1,1
2105708;Lago da Pedra;1,4;1,3;1,4;0,8;1,0
2106508;Matinha;1,4;1,4;1,1;0,9;1,0
2106607;Matões;1,4;1,3;1,2;0,9;0,9
2106706;Mirador;1,3;1,3;0,9;1,3;1,0
2106755;Miranda do Norte;1,3;1,2;1,1;1,9;0,9
2106904;Monção;1,2;1,2;1,0;1,2;1,0
2107704;Paraibano;1,7;1,4;1,6;1,1;0,8
2107803;Parnarama;1,5;1,3;1,4;1,1;0,9
2108108;Paulo Ramos;1,8;1,9;1,6;2,0;1,0
2108207;Pedreiras;1,4;1,4;1,4;1,8;1,0
2108256;Pedro do Rosário;1,2;1,2;1,3;0,8;1,0
2108306;Penalva;1,3;1,4;1,3;1,6;1,0
2108454;Peritoró;1,4;1,4;1,0;3,1;1,0
2108504;Pindaré-Mirim;1,4;1,4;1,1;1,4;1,0
2108702;Pio XII;1,2;1,2;1,3;0,7;1,0
2109007;Porto Franco;1,7;1,4;1,8;3,0;0,9
2109106;Presidente Dutra;1,3;1,4;1,2;1,4;1,1
2109452;Raposa;1,1;1,2;1,0;1,2;1,2
2109502;Riachão;1,8;1,6;1,7;1,4;0,9
2109601;Rosário;1,2;1,3;0,9;1,8;1,1
2109809;Santa Helena;1,2;1,2;1,0;1,2;1,0
2110039;Santa Luzia do Paruá;1,5;1,4;1,3;1,1;0,9
2110104;Santa Quitéria do Maranhão;1,3;1,3;1,1;1,8;1,0
2110203;Santa Rita;1,4;1,3;1,4;1,3;1,0
2110500;São Bento;1,4;1,2;1,2;1,3;0,9
2110609;São Bernardo;1,4;1,4;0,8;1,0;1,0
2110708;São Domingos do Maranhão;1,4;1,4;1,4;1,6;1,0
2111102;São João dos Patos;1,6;1,3;1,6;1,5;0,8
2111409;São Luís Gonzaga do Maranhão;0,9;1,2;1,2;-;1,3
2111508;São Mateus do Maranhão;1,8;1,4;1,7;1,0;0,8
2111706;São Vicente Ferrer;1,3;1,4;1,4;0,7;1,1
2112100;Timbiras;1,0;1,1;1,1;1,3;1,1
2112308;Tuntum;1,2;1,2;1,3;1,7;1,0
2112407;Turiaçu;1,2;1,3;1,4;1,7;1,0
2112456;Turilândia;1,2;1,2;1,2;0,9;0,9
2112605;Urbano Santos;1,2;1,3;1,2;0,5;1,1
2112704;Vargem Grande;1,4;1,3;1,0;0,7;0,9
2112803;Viana;1,6;1,5;1,3;2,0;1,0
2112902;Vitória do Mearim;1,5;1,5;1,1;1,4;1,0
2113009;Vitorino Freire;1,5;1,4;1,3;1,2;0,9
;De 50.001 a 100.000 ;1,6;1,5;1,2;1,6;1,0
2101400;Balsas;2,3;2,1;1,7;2,1;0,9
2101608;Barra do Corda;1,4;1,3;1,5;1,4;0,9
2101707;Barreirinhas;1,3;1,3;1,2;1,3;1,1
2102325;Buriticupu;1,4;1,4;1,3;1,9;1,0
2103208;Chapadinha;1,5;1,4;1,6;1,8;1,0
2103604;Coroatá;1,2;1,2;1,0;1,3;1,0
2104800;Grajaú;1,6;1,5;0,7;1,9;0,9
2105401;Itapecuru Mirim;1,5;1,3;1,1;1,5;0,9
2108603;Pinheiro;1,4;1,2;1,0;0,7;0,9
2109908;Santa Inês;1,6;1,5;1,6;1,8;0,9
2110005;Santa Luzia;1,4;1,3;1,3;1,8;1,0
2112506;Tutóia;1,2;1,2;1,2;0,9;1,0
2114007;Zé Doca;1,4;1,3;1,3;1,0;1,0
;De 100.001 a 500.000 ;1,6;1,5;1,4;1,5;1,0
2100055;Açailândia;1,5;1,5;1,6;1,8;1,0
2101202;Bacabal;1,6;1,5;1,2;1,2;0,9
2103000;Caxias;1,7;1,6;1,6;1,4;0,9
2103307;Codó;1,5;1,4;1,1;1,0;1,0
2105302;Imperatriz;1,6;1,5;1,3;1,7;0,9
2107506;Paço do Lumiar;1,2;1,3;1,3;1,6;1,1
2111201;São José de Ribamar;1,5;1,4;1,3;1,3;1,0
2112209;Timon;1,5;1,4;1,2;1,3;1,0
;Mais de 500.000 ;2,0;1,8;1,5;1,6;0,9
2111300;São Luís;2,0;1,8;1,5;1,6;0,9
;;;;;;
Fonte: IBGE, Censo Demográfico 2010. Resultados Preliminares do Universo.;;;;;;
Nota: Exclusive pessoas com rendimento mensal total nominal igual a zero ou indeterminado.;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
