;Tabela 7 - Domicílios particulares permanentes, total e respectiva distribuição percentual, ;;;;;;;
;por situação do domicílio e tipo de saneamento, segundo os municípios e as ;;;;;;;
;classes de tamanho da população dos municípios - Maranhão - 2010;;;;;;;
;;;;;(continuaçao);;;
Código do Município;"Municípios e
classes de tamanho da
população dos municípios
(habitantes)";Domicílios particulares permanentes;;;;;;
;;Total;Distribuição percentual, por tipo de saneamento (%);;;;;
;;;Adequado (1);Semi-adequado (2);Inadequado (3);;;
;;Urbana;;;;;;
;               Maranhão; 1 073 972;28,2;65,7;6,1;;;
;Até 5.000 ;  3 864;8,2;83,6;8,2;;;
2105658;Junco do Maranhão;   708;21,1;73,5;5,5;;;
2107258;Nova Colinas;   558;-;100,0;-;;;
2107308;Nova Iorque;   761;21,7;74,0;4,3;;;
2110807;São Félix de Balsas;   442;0,2;49,3;50,5;;;
2111573;São Pedro dos Crentes;   632;0,3;99,4;0,3;;;
2111953;Sucupira do Riachão;   763;-;97,6;2,4;;;
;De 5.001 a 10.000 ;  26 329;9,8;78,8;11,5;;;
2100105;Afonso Cunha;   733;0,1;83,2;16,6;;;
2100550;Amapá do Maranhão;  1 140;10,8;64,0;25,2;;;
2101350;Bacurituba;   382;-;87,7;12,3;;;
2101731;Belágua;   640;-;76,1;23,9;;;
2101806;Benedito Leite;   709;25,1;73,8;1,1;;;
2101939;Bernardo do Mearim;   614;28,0;68,2;3,8;;;
2101970;Boa Vista do Gurupi;  1 280;0,5;83,8;15,8;;;
2102150;Brejo de Areia;   677;-;39,0;61,0;;;
2102374;Cachoeira Grande;   819;0,1;50,2;49,7;;;
2103125;Central do Maranhão;  1 028;2,4;71,4;26,2;;;
2104073;Feira Nova do Maranhão;   528;0,4;99,6;-;;;
2104081;Fernando Falcão;   371;-;79,3;20,8;;;
2104628;Governador Luiz Rocha;  1 359;3,6;90,6;5,8;;;
2104701;Graça Aranha;   804;1,1;97,0;1,9;;;
2105450;Jatobá;   949;8,0;88,2;3,8;;;
2105948;Lago dos Rodrigues;  1 333;1,0;94,3;4,7;;;
2105989;Lajeado Novo;   894;10,2;89,0;0,8;;;
2106201;Luís Domingues;  1 356;-;70,9;29,1;;;
2106359;Marajá do Sena;   260;26,5;61,5;11,9;;;
2106672;Milagres do Maranhão;   408;18,4;80,4;1,2;;;
2107001;Montes Altos;  1 356;6,7;91,0;2,3;;;
2109056;Porto Rico do Maranhão;   594;33,5;64,3;2,2;;;
2109239;Presidente Médici;   927;63,7;35,5;0,9;;;
2109551;Ribamar Fiquene;   976;27,3;69,4;3,4;;;
2109700;Sambaíba;   700;13,3;68,3;18,4;;;
2109759;Santa Filomena do Maranhão;   580;1,7;97,6;0,7;;;
2110658;São Domingos do Azeitão;  1 180;1,1;89,1;9,8;;;
2111250;São José dos Basílios;   774;0,3;98,1;1,7;;;
2111631;São Raimundo do Doca Bezerra;   422;18,7;77,3;4,0;;;
2111672;São Roberto;   650;43,7;55,4;0,9;;;
2112001;Tasso Fragoso;  1 191;2,4;97,3;0,3;;;
2112274;Tufilândia;   695;4,2;94,8;1,0;;;
;De 10.001 a 20.000 ;  147 639;7,8;81,6;10,6;;;
2100154;Água Doce do Maranhão;   762;1,6;95,9;2,5;;;
2100402;Altamira do Maranhão;   829;2,1;90,4;7,6;;;
2100501;Alto Parnaíba;  1 758;2,6;94,9;2,6;;;
2100808;Anapurus;  1 745;4,2;93,0;2,8;;;
2100832;Apicum-Açu;  2 071;0,5;72,5;27,0;;;
2100873;Araguanã;  1 181;7,0;90,6;2,4;;;
2101103;Axixá;  1 060;15,2;64,3;20,5;;;
2101251;Bacabeira;   824;57,2;41,8;1,1;;;
2101301;Bacuri;  2 244;4,8;66,3;28,9;;;
2101509;Barão de Grajaú;  2 828;5,7;87,6;6,7;;;
2101772;Bela Vista do Maranhão;  1 293;2,9;94,5;2,6;;;
2102077;Bom Lugar;   950;0,3;68,1;31,6;;;
2102358;Buritirana;  1 103;0,7;97,3;2,0;;;
2102408;Cajapió;  1 026;7,1;73,4;19,5;;;
2102507;Cajari;  1 088;1,1;70,8;28,1;;;
2102556;Campestre do Maranhão;  2 813;1,5;98,1;0,4;;;
2102606;Cândido Mendes;  2 705;15,0;48,4;36,6;;;
2102754;Capinzal do Norte;  1 588;4,6;87,4;8,0;;;
2103109;Cedral;   596;3,2;96,1;0,7;;;
2103158;Centro do Guilherme;  1 452;4,8;73,5;21,8;;;
2103174;Centro Novo do Maranhão;  1 336;3,8;54,0;42,2;;;
2103257;Cidelândia;  1 528;1,0;98,2;0,8;;;
2103554;Conceição do Lago-Açu;  1 626;4,0;83,2;12,8;;;
2103752;Davinópolis;  2 746;13,2;84,2;2,7;;;
2103901;Duque Bacelar;  1 269;36,7;57,6;5,7;;;
2104008;Esperantinópolis;  2 747;19,8;74,2;6,1;;;
2104099;Formosa da Serra Negra;  1 369;2,2;96,1;1,8;;;
2104107;Fortaleza dos Nogueiras;  1 748;0,9;96,7;2,5;;;
2104206;Fortuna;  2 558;3,7;94,1;2,3;;;
2104305;Godofredo Viana;  1 643;15,9;54,4;29,8;;;
2104404;Gonçalves Dias;  2 112;5,8;92,5;1,7;;;
2104503;Governador Archer;  1 761;8,9;88,9;2,3;;;
2104552;Governador Edison Lobão;  1 884;18,2;80,9;1,0;;;
2104602;Governador Eugênio Barros;  1 294;1,9;93,9;4,2;;;
2104651;Governador Newton Bello;  1 059;0,9;86,8;12,4;;;
2104909;Guimarães;  1 888;0,3;94,9;4,8;;;
2105153;Igarapé do Meio;  1 574;0,6;96,6;2,8;;;
2105203;Igarapé Grande;  1 768;6,3;89,5;4,2;;;
2105351;Itaipava do Grajaú;  1 015;5,1;94,6;0,3;;;
2105476;Jenipapo dos Vieiras;   689;1,2;97,1;1,7;;;
2105609;Joselândia;  1 630;0,7;98,0;1,2;;;
2105807;Lago do Junco;  1 020;37,8;59,9;2,4;;;
2105906;Lago Verde;  1 280;8,4;71,6;20,0;;;
2105922;Lagoa do Mato;  1 065;0,9;98,4;0,7;;;
2105963;Lagoa Grande do Maranhão;  1 303;1,7;96,6;1,8;;;
2106003;Lima Campos;  1 977;13,3;85,7;1,1;;;
2106102;Loreto;  1 539;16,8;82,1;1,1;;;
2106300;Magalhães de Almeida;  2 127;20,6;75,5;4,0;;;
2106326;Maracaçumé;  3 796;12,2;68,9;18,8;;;
2106375;Maranhãozinho;  2 000;25,2;60,8;14,1;;;
2106409;Mata Roma;  1 755;12,0;81,5;6,6;;;
2106631;Matões do Norte;   884;2,9;94,3;2,7;;;
2106805;Mirinzal;  2 272;0,3;78,2;21,5;;;
2107100;Morros;  1 562;4,1;76,7;19,2;;;
2107209;Nina Rodrigues;   950;5,7;91,3;3,1;;;
