;Tabela 3 - Pessoas de 15 anos ou mais de idade que não sabem ler e escrever, total e respectivas;;;;;;;;;;
;taxas de analfabetismo, por cor ou raça e grupos de idade, segundo os municípios e as ;;;;;;;;;;
; classes de tamanho da população dos municípios - Maranhão - 2010;;;;;;;;;;
;;;;;;;;;;;(continua)
Código do município;"Municípios e
classes de tamanho da
população dos municípios
(habitantes)";"Pessoas de 15 anos ou mais de idade que não sabem ler e escrever,
total e respectivas taxas de analfabetismo, por grupos de idade (%)";;;;;;;;;
;;15 anos ou mais;;15 a 24 anos;;25 a 39 anos;;40 a 59 anos;;60 anos ou mais;
;;Total;"Taxa
(%)";Total;"Taxa
(%)";Total;"Taxa
(%)";Total;"Taxa
(%)";Total;"Taxa
(%)"
2100873;Araguanã;  2 553;28,2;   235;8,8;   750;22,8;   851;41,4;   717;67,4
2101103;Axixá;  1 272;16,3;   76;3,2;   234;9,5;   442;25,0;   520;46,0
2101251;Bacabeira;  1 853;18,3;   130;4,0;   396;11,5;   679;29,3;   648;57,8
2101301;Bacuri;  2 676;23,7;   220;6,0;   549;16,6;   906;34,3;  1 001;59,1
2101509;Barão de Grajaú;  2 959;22,7;   162;4,4;   646;15,8;  1 101;32,5;  1 050;56,6
2101772;Bela Vista do Maranhão;  2 352;29,4;   216;8,8;   527;20,9;   829;43,8;   780;70,1
2102077;Bom Lugar;  3 215;32,1;   207;7,4;   841;23,0;  1 274;54,0;   893;74,8
2102358;Buritirana;  2 762;28,5;   204;7,3;   649;21,4;   944;39,1;   965;66,3
2102408;Cajapió;  1 828;25,6;   226;10,2;   442;19,4;   598;36,8;   562;55,2
2102507;Cajari;  2 584;21,7;   301;8,0;   710;18,3;   844;30,3;   729;49,8
2102556;Campestre do Maranhão;  1 928;21,2;   109;3,8;   435;14,3;   762;35,7;   622;60,1
2102606;Cândido Mendes;  2 646;21,5;   309;7,6;   681;17,4;   870;30,6;   786;51,3
2102754;Capinzal do Norte;  2 418;32,2;   196;9,6;   568;24,6;   861;44,8;   793;64,0
2103109;Cedral;  1 263;17,2;   80;4,0;   242;10,2;   476;25,2;   465;44,1
2103158;Centro do Guilherme;  2 347;28,8;   284;9,7;   573;21,8;   967;51,5;   523;73,0
