;Tabela 7 - Domicílios particulares permanentes, total e respectiva distribuição percentual, ;;;;;;;
;por situação do domicílio e tipo de saneamento, segundo os municípios e as ;;;;;;;
;classes de tamanho da população dos municípios - Maranhão - 2010;;;;;;;
;;;;;(conclusão);;;
Código do Município;"Municípios e
classes de tamanho da
população dos municípios
(habitantes)";Domicílios particulares permanentes;;;;;;
;;Total;Distribuição percentual, por tipo de saneamento (%);;;;;
;;;Adequado (1);Semi-adequado (2);Inadequado (3);;;
;;Rural;;;;;;
2107605;Palmeirândia;  3 998;-;57,3;42,7;;;
2107902;Passagem Franca;  1 775;-;64,7;35,3;;;
2108009;Pastos Bons;  1 531;-;46,8;53,2;;;
2108058;Paulino Neves;  1 949;-;13,9;86,2;;;
2108405;Peri Mirim;  2 572;2,1;22,7;75,1;;;
2108801;Pirapemas;  1 413;-;14,5;85,5;;;
2108900;Poção de Pedras;  2 895;0,1;31,7;68,2;;;
2109205;Presidente Juscelino;  1 617;-;14,2;85,8;;;
2109270;Presidente Sarney;  2 988;-;21,4;78,7;;;
2109304;Presidente Vargas;  1 407;0,1;15,4;84,4;;;
2109403;Primeira Cruz;  2 005;-;22,8;77,2;;;
2110237;Santana do Maranhão;  2 019;-;80,7;19,3;;;
2110278;Santo Amaro do Maranhão;  1 822;-;8,3;91,7;;;
2110302;Santo Antônio dos Lopes;  2 157;0,1;42,1;57,8;;;
2110401;São Benedito do Rio Preto;  1 393;-;9,4;90,6;;;
2110856;São Francisco do Brejão;  1 377;0,7;46,1;53,2;;;
2110906;São Francisco do Maranhão;  2 122;-;15,3;84,7;;;
2111003;São João Batista;  3 601;0,0;37,5;62,5;;;
2111029;São João do Carú;  1 246;-;47,9;52,1;;;
2111052;São João do Paraíso;  1 400;-;23,4;76,6;;;
2111078;São João do Soter;  2 647;-;58,6;41,4;;;
2111532;São Pedro da Água Branca;   329;-;16,4;83,6;;;
2111607;São Raimundo das Mangabeiras;  1 242;-;23,0;77,0;;;
2111722;Satubinha;  1 622;0,1;67,0;32,9;;;
2111748;Senador Alexandre Costa;   995;-;62,6;37,4;;;
2111763;Senador La Rocque;  2 284;3,9;76,4;19,8;;;
2111789;Serrano do Maranhão;  1 630;-;35,0;65,0;;;
2111805;Sítio Novo;  2 739;-;24,4;75,6;;;
2111904;Sucupira do Norte;  1 416;-;57,6;42,4;;;
2112233;Trizidela do Vale;   707;-;25,6;74,4;;;
2112852;Vila Nova dos Martírios;  1 174;0,4;55,0;44,6;;;
;De 20.001 a 50.000 ;  218 875;0,4;38,0;61,6;;;
2100204;Alcântara;  4 393;0,1;46,4;53,6;;;
2100303;Aldeias Altas;  2 403;-;9,2;90,8;;;
2100436;Alto Alegre do Maranhão;  1 230;-;32,6;67,4;;;
2100477;Alto Alegre do Pindaré;  4 868;0,9;76,6;22,5;;;
2100600;Amarante do Maranhão;  5 464;-;49,3;50,7;;;
2100709;Anajatuba;  4 625;-;48,6;51,4;;;
2100907;Araioses;  7 254;1,5;26,4;72,0;;;
2100956;Arame;  4 018;0,1;48,0;52,0;;;
2101004;Arari;  2 591;-;21,7;78,3;;;
2101905;Bequimão;  3 825;-;27,3;72,7;;;
2102002;Bom Jardim;  5 468;0,1;53,1;46,7;;;
2102036;Bom Jesus das Selvas;  3 189;0,3;36,2;63,6;;;
2102101;Brejo;  4 897;0,1;39,8;60,1;;;
2102200;Buriti;  3 984;-;14,6;85,4;;;
2102309;Buriti Bravo;  1 450;-;8,6;91,5;;;
2102705;Cantanhede;  1 646;-;16,8;83,2;;;
2102804;Carolina;  1 880;4,8;14,8;80,4;;;
2102903;Carutapera;  1 300;-;57,5;42,5;;;
2103406;Coelho Neto;  1 823;-;47,6;52,4;;;
2103505;Colinas;  3 307;-;30,7;69,3;;;
2103703;Cururupu;  2 762;-;33,1;66,9;;;
2103802;Dom Pedro;  1 940;0,7;81,8;17,5;;;
2104057;Estreito;  2 310;0,2;36,6;63,2;;;
2104677;Governador Nunes Freire;  2 064;-;61,9;38,1;;;
2105005;Humberto de Campos;  3 415;-;35,5;64,5;;;
2105104;Icatu;  3 966;-;33,0;67,0;;;
2105427;Itinga do Maranhão;  1 931;0,3;59,1;40,7;;;
2105500;João Lisboa;  1 315;-;56,7;43,4;;;
2105708;Lago da Pedra;  3 717;0,7;30,0;69,3;;;
2106508;Matinha;  3 295;-;31,0;69,0;;;
2106607;Matões;  4 271;-;43,1;56,9;;;
2106706;Mirador;  2 555;0,0;23,5;76,5;;;
2106755;Miranda do Norte;   969;0,2;7,3;92,5;;;
2106904;Monção;  4 742;0,0;58,3;41,7;;;
2107704;Paraibano;  1 154;-;20,7;79,3;;;
2107803;Parnarama;  5 199;0,0;50,0;50,0;;;
2108108;Paulo Ramos;  2 121;-;21,0;79,0;;;
2108207;Pedreiras;  1 688;0,1;13,2;86,8;;;
2108256;Pedro do Rosário;  3 947;-;9,2;90,8;;;
2108306;Penalva;  3 928;0,0;24,7;75,3;;;
2108454;Peritoró;  3 548;0,1;47,1;52,9;;;
2108504;Pindaré-Mirim;  2 093;-;61,3;38,8;;;
2108702;Pio XII;  2 220;-;56,9;43,1;;;
2109007;Porto Franco;  1 211;-;18,0;82,0;;;
2109106;Presidente Dutra;  3 326;0,2;62,2;37,7;;;
2109452;Raposa;  2 447;4,6;71,8;23,7;;;
2109502;Riachão;  2 480;3,3;17,3;79,4;;;
2109601;Rosário;  3 791;1,3;32,7;66,1;;;
2109809;Santa Helena;  4 134;0,0;18,9;81,0;;;
2110039;Santa Luzia do Paruá;  2 349;1,2;58,2;40,7;;;
2110104;Santa Quitéria do Maranhão;  3 125;-;18,7;81,3;;;
2110203;Santa Rita;  4 187;0,0;39,6;60,4;;;
2110500;São Bento;  3 880;0,1;14,3;85,7;;;
2110609;São Bernardo;  3 385;-;43,1;56,9;;;
2110708;São Domingos do Maranhão;  4 047;2,7;76,3;21,1;;;
2111102;São João dos Patos;  1 228;-;66,0;34,0;;;
2111409;São Luís Gonzaga do Maranhão;  3 074;0,0;38,7;61,3;;;
2111508;São Mateus do Maranhão;  2 518;-;30,4;69,6;;;
2111706;São Vicente Ferrer;  3 727;-;10,6;89,4;;;
2112100;Timbiras;  2 389;-;2,3;97,7;;;
2112308;Tuntum;  5 392;0,1;72,1;27,8;;;
2112407;Turiaçu;  5 155;0,0;19,9;80,1;;;
2112456;Turilândia;  2 754;-;47,1;52,9;;;
2112605;Urbano Santos;  1 541;0,1;26,6;73,3;;;
2112704;Vargem Grande;  4 775;-;10,9;89,1;;;
2112803;Viana;  5 543;0,5;17,0;82,5;;;
2112902;Vitória do Mearim;  3 753;0,9;73,8;25,3;;;
2113009;Vitorino Freire;  3 899;-;46,0;54,0;;;
;De 50.001 a 100.000 ;  77 087;0,3;38,9;60,8;;;
2101400;Balsas;  2 637;0,0;16,0;83,9;;;
2101608;Barra do Corda;  7 849;0,0;45,8;54,2;;;
2101707;Barreirinhas;  6 962;0,1;16,1;83,8;;;
2102325;Buriticupu;  6 616;0,3;51,2;48,5;;;
2103208;Chapadinha;  4 669;0,1;7,6;92,3;;;
2103604;Coroatá;  4 527;-;43,4;56,6;;;
2104800;Grajaú;  5 812;0,2;41,4;58,4;;;
2105401;Itapecuru Mirim;  6 832;1,7;32,3;66,1;;;
2108603;Pinheiro;  7 679;0,4;29,8;69,7;;;
2109908;Santa Inês;  1 045;0,3;80,6;19,1;;;
2110005;Santa Luzia;  11 028;0,4;56,5;43,1;;;
2112506;Tutóia;  7 156;0,1;53,1;46,9;;;
2114007;Zé Doca;  4 275;0,1;31,3;68,7;;;
;De 100.001 a 500.000 ;  80 160;13,8;53,7;32,5;;;
2100055;Açailândia;  6 891;1,3;69,0;29,7;;;
2101202;Bacabal;  5 582;-;54,0;46,0;;;
2103000;Caxias;  9 369;2,8;25,4;71,9;;;
2103307;Codó;  9 224;1,7;36,3;62,0;;;
2105302;Imperatriz;  3 449;2,1;53,4;44,5;;;
2107506;Paço do Lumiar;  6 479;8,9;64,5;26,6;;;
2111201;São José de Ribamar;  33 775;29,1;62,9;8,0;;;
2112209;Timon;  5 391;1,5;41,9;56,6;;;
