;Tabela 8 - Valor médio e quartis do rendimento mensal total domiciliar per capita nominal,;;;;;;;
;por situação do domicílio, segundo os municípios e as classes de tamanho da ;;;;;;;
;população dos municípios - Maranhão - 2010;;;;;;;
;;;;;(conclusão);;;
Código do município;Municípios e classes de tamanho da população dos municípios (habitantes);Rendimento mensal total domiciliar per capita nominal;;;;;;
;;"Valor médio
(R$)";Quartis (R$);;;;;
;;;1º quartil;"2º quartil
(mediana)";3º quartil;;;
;Rural;;;;;;;
;               Maranhão;170;41;106;204;;;
;Até 5.000 ;172;37;102;219;;;
2105658;Junco do Maranhão;133;34;92;170;;;
2107258;Nova Colinas;180;28;97;204;;;
2107308;Nova Iorque;164;31;84;250;;;
2110807;São Félix de Balsas;171;39;105;237;;;
2111573;São Pedro dos Crentes;187;52;102;208;;;
2111953;Sucupira do Riachão;184;50;125;255;;;
;De 5.001 a 10.000 ;144;31;90;180;;;
2100105;Afonso Cunha;92;22;43;118;;;
2100550;Amapá do Maranhão;117;25;69;156;;;
2101350;Bacurituba;127;28;85;170;;;
2101731;Belágua;90;19;37;124;;;
2101806;Benedito Leite;182;28;123;255;;;
2101939;Bernardo do Mearim;193;75;140;255;;;
2101970;Boa Vista do Gurupi;148;47;107;198;;;
2102150;Brejo de Areia;140;55;100;187;;;
2102374;Cachoeira Grande;110;28;69;135;;;
2103125;Central do Maranhão;129;33;85;170;;;
2104073;Feira Nova do Maranhão;135;28;86;172;;;
2104081;Fernando Falcão;107;28;67;132;;;
2104628;Governador Luiz Rocha;126;30;84;177;;;
2104701;Graça Aranha;173;48;114;243;;;
2105450;Jatobá;155;43;103;204;;;
2105948;Lago dos Rodrigues;167;64;128;220;;;
2105989;Lajeado Novo;174;48;128;234;;;
2106201;Luís Domingues;141;44;92;170;;;
2106359;Marajá do Sena;95;27;56;120;;;
2106672;Milagres do Maranhão;123;33;72;161;;;
2107001;Montes Altos;151;29;100;190;;;
2109056;Porto Rico do Maranhão;175;50;120;233;;;
2109239;Presidente Médici;127;50;102;159;;;
2109551;Ribamar Fiquene;255;80;160;255;;;
2109700;Sambaíba;202;27;99;204;;;
2109759;Santa Filomena do Maranhão;118;27;61;156;;;
2110658;São Domingos do Azeitão;252;45;122;225;;;
2111250;São José dos Basílios;142;28;85;200;;;
2111631;São Raimundo do Doca Bezerra;138;33;100;189;;;
2111672;São Roberto;114;36;79;143;;;
2112001;Tasso Fragoso;169;28;119;223;;;
2112274;Tufilândia;141;28;94;182;;;
;De 10.001 a 20.000 ;148;34;100;190;;;
2100154;Água Doce do Maranhão;164;33;123;215;;;
2100402;Altamira do Maranhão;143;44;102;187;;;
2100501;Alto Parnaíba;376;27;102;204;;;
2100808;Anapurus;132;30;94;170;;;
2100832;Apicum-Açu;140;50;100;175;;;
2100873;Araguanã;131;47;92;170;;;
2101103;Axixá;165;48;107;204;;;
2101251;Bacabeira;190;71;128;228;;;
2101301;Bacuri;150;39;92;188;;;
2101509;Barão de Grajaú;171;40;123;250;;;
2101772;Bela Vista do Maranhão;170;53;126;217;;;
2102077;Bom Lugar;157;65;119;202;;;
2102358;Buritirana;194;64;134;253;;;
2102408;Cajapió;110;27;65;150;;;
2102507;Cajari;117;29;75;159;;;
2102556;Campestre do Maranhão;230;102;175;287;;;
2102606;Cândido Mendes;116;27;64;133;;;
2102754;Capinzal do Norte;161;40;102;204;;;
2103109;Cedral;150;43;101;198;;;
2103158;Centro do Guilherme;120;22;67;166;;;
2103174;Centro Novo do Maranhão;201;53;128;240;;;
2103257;Cidelândia;214;85;153;255;;;
2103554;Conceição do Lago-Açu;122;32;71;163;;;
2103752;Davinópolis;203;81;143;255;;;
2103901;Duque Bacelar;99;22;40;126;;;
2104008;Esperantinópolis;141;31;92;182;;;
2104099;Formosa da Serra Negra;137;29;83;181;;;
2104107;Fortaleza dos Nogueiras;177;63;128;217;;;
2104206;Fortuna;144;33;88;188;;;
2104305;Godofredo Viana;145;63;117;188;;;
2104404;Gonçalves Dias;154;39;102;205;;;
2104503;Governador Archer;135;39;100;175;;;
2104552;Governador Edison Lobão;265;121;186;320;;;
2104602;Governador Eugênio Barros;175;38;120;233;;;
2104651;Governador Newton Bello;128;50;82;160;;;
2104909;Guimarães;145;39;90;194;;;
2105153;Igarapé do Meio;142;37;102;190;;;
2105203;Igarapé Grande;191;70;136;255;;;
2105351;Itaipava do Grajaú;127;28;78;170;;;
2105476;Jenipapo dos Vieiras;130;27;83;170;;;
2105609;Joselândia;148;34;94;188;;;
2105807;Lago do Junco;140;33;83;170;;;
2105906;Lago Verde;134;41;100;170;;;
2105922;Lagoa do Mato;163;30;102;226;;;
2105963;Lagoa Grande do Maranhão;104;22;57;138;;;
2106003;Lima Campos;188;51;128;250;;;
2106102;Loreto;133;28;81;170;;;
2106300;Magalhães de Almeida;129;28;85;170;;;
2106326;Maracaçumé;184;76;128;230;;;
2106375;Maranhãozinho;132;46;102;170;;;
2106409;Mata Roma;136;32;86;170;;;
2106631;Matões do Norte;113;48;90;146;;;
2106805;Mirinzal;155;46;116;204;;;
2107100;Morros;106;26;60;128;;;
2107209;Nina Rodrigues;91;22;50;123;;;
2107357;Nova Olinda do Maranhão;160;58;118;204;;;
2107407;Olho d'Água das Cunhãs;160;50;122;204;;;
2107456;Olinda Nova do Maranhão;125;28;71;171;;;
2107605;Palmeirândia;137;32;95;185;;;
2107902;Passagem Franca;139;28;75;170;;;
2108009;Pastos Bons;162;30;100;204;;;
2108058;Paulino Neves;114;24;71;150;;;
2108405;Peri Mirim;155;37;102;203;;;
2108801;Pirapemas;111;22;63;130;;;
2108900;Poção de Pedras;160;50;103;213;;;
2109205;Presidente Juscelino;95;22;42;128;;;
2109270;Presidente Sarney;139;34;100;189;;;
2109304;Presidente Vargas;100;23;46;126;;;
2109403;Primeira Cruz;104;26;56;128;;;
2110237;Santana do Maranhão;126;27;89;170;;;
2110278;Santo Amaro do Maranhão;95;22;57;128;;;
2110302;Santo Antônio dos Lopes;161;50;116;215;;;
2110401;São Benedito do Rio Preto;92;21;42;124;;;
2110856;São Francisco do Brejão;207;85;151;255;;;
2110906;São Francisco do Maranhão;145;28;81;204;;;
2111003;São João Batista;128;28;91;170;;;
2111029;São João do Carú;139;33;97;180;;;
2111052;São João do Paraíso;181;48;106;218;;;
2111078;São João do Soter;138;30;87;194;;;
2111532;São Pedro da Água Branca;228;80;140;248;;;
2111607;São Raimundo das Mangabeiras;173;54;120;232;;;
2111722;Satubinha;111;40;78;135;;;
2111748;Senador Alexandre Costa;150;31;102;191;;;
2111763;Senador La Rocque;193;75;135;250;;;
2111789;Serrano do Maranhão;117;22;68;163;;;
2111805;Sítio Novo;131;28;81;170;;;
2111904;Sucupira do Norte;165;28;89;200;;;
2112233;Trizidela do Vale;187;47;100;203;;;
2112852;Vila Nova dos Martírios;231;102;170;272;;;
;De 20.001 a 50.000 ;147;36;99;186;;;
2100204;Alcântara;160;34;100;204;;;
2100303;Aldeias Altas;110;23;64;146;;;
2100436;Alto Alegre do Maranhão;144;56;107;189;;;
2100477;Alto Alegre do Pindaré;133;30;79;161;;;
2100600;Amarante do Maranhão;145;38;93;184;;;
2100709;Anajatuba;158;39;107;204;;;
2100907;Araioses;154;34;104;203;;;
2100956;Arame;121;27;78;156;;;
2101004;Arari;156;37;113;204;;;
2101905;Bequimão;146;34;102;200;;;
2102002;Bom Jardim;133;28;85;170;;;
2102036;Bom Jesus das Selvas;154;66;117;190;;;
2102101;Brejo;140;30;90;170;;;
2102200;Buriti;133;22;52;144;;;
2102309;Buriti Bravo;126;26;67;167;;;
2102705;Cantanhede;104;30;71;128;;;
2102804;Carolina;193;60;125;229;;;
2102903;Carutapera;135;34;90;170;;;
2103406;Coelho Neto;134;34;87;170;;;
2103505;Colinas;122;27;63;153;;;
