;Tabela 5 - Unidades domésticas, por tipo, total e respectiva distribuição percentual,;;;;;;;;;;;;
;por número de responsáveis, segundo os municípios e as classes de tamanho da ;;;;;;;;;;;;
;população dos municípios - Maranhão - 2010;;;;;;;;;;;;
;;;;;;;;;;;;;
Código do município;"Municípios e
classes de tamanho da
população dos municípios
(habitantes)";Unidades domésticas, por tipo;;;;;;;;;;;
;;Total;;;Responsável e cônjuge;;;Responsável, cônjuge com filhos e/ou outros parentes;;;Outros;;
;;"Total
(1)";"Distribuição
percentual (%)";;"Total
(1)";"Distribuição
percentual (%)";;"Total
(1)";"Distribuição
percentual (%)";;"Total
(1)";"Distribuição
percentual (%)";
;;;"Único
respon-
sável";"Com
mais de
1 respon-
sável";;"Único
respon-
sável";"Com
mais de
1 respon-
sável";;"Único
respon-
sável";"Com
mais de
1 respon-
sável";;"Único
respon-
sável";"Com
mais de
1 respon-
sável"
;               Maranhão; 1 653 701;67,2;32,7;  158 713;55,5;44,4;  956 950;58,9;41,1;  538 038;85,5;14,4
;Até 5.000 ;  6 910;60,7;39,3;   758;41,2;58,8;  4 338;52,9;47,1;  1 814;87,4;12,6
2105658;Junco do Maranhão;   986;61,3;38,7;   101;39,6;60,4;   635;53,5;46,5;   250;89,6;10,4
2107258;Nova Colinas;  1 188;59,2;40,8;   110;39,1;60,9;   819;53,2;46,8;   259;86,5;13,5
2107308;Nova Iorque;  1 207;63,4;36,5;   131;44,3;55,7;   695;52,2;47,8;   381;90,3;9,5
2110807;São Félix de Balsas;  1 212;64,9;35,2;   144;53,5;46,5;   759;60,2;39,8;   309;81,6;18,5
2111573;São Pedro dos Crentes;  1 105;66,2;33,9;   134;47,0;53,0;   699;60,9;39,1;   272;89,0;11,0
2111953;Sucupira do Riachão;  1 212;49,7;50,3;   138;22,5;77,5;   731;37,2;62,8;   343;87,2;12,8
;De 5.001 a 10.000 ;  53 862;58,8;41,2;  5 359;46,8;53,2;  34 519;50,1;49,9;  13 984;84,9;15,0
2100105;Afonso Cunha;  1 303;49,5;50,5;   116;41,4;58,6;   849;36,8;63,3;   338;84,3;15,7
2100550;Amapá do Maranhão;  1 503;41,1;58,9;   125;16,8;83,2;   969;27,8;72,2;   409;80,0;19,8
2101350;Bacurituba;  1 397;58,1;41,9;   125;44,8;55,2;   742;39,2;60,8;   530;87,7;12,3
2101731;Belágua;  1 265;44,5;55,5;   97;44,3;55,7;   973;37,2;62,8;   195;81,0;19,0
2101806;Benedito Leite;  1 419;62,8;37,2;   165;51,5;48,5;   853;54,3;45,7;   401;85,5;14,5
2101939;Bernardo do Mearim;  1 496;67,5;32,5;   173;60,1;39,9;   985;60,5;39,4;   338;91,4;8,6
2101970;Boa Vista do Gurupi;  1 817;65,9;34,1;   130;57,7;42,3;  1 116;55,8;44,2;   571;87,6;12,4
2102150;Brejo de Areia;  1 274;37,9;62,1;   112;33,9;66,1;   902;28,2;71,8;   260;73,5;26,5
2102374;Cachoeira Grande;  1 770;72,3;27,7;   117;54,7;45,3;  1 248;67,2;32,9;   405;93,1;6,7
2103125;Central do Maranhão;  1 979;59,6;40,3;   154;47,4;52,6;   986;38,1;61,9;   839;87,1;12,6
2104073;Feira Nova do Maranhão;  1 987;60,9;39,1;   233;49,4;50,6;  1 268;55,0;45,0;   486;81,7;18,3
2104081;Fernando Falcão;  1 881;77,4;22,7;   175;73,1;26,9;  1 388;74,9;25,1;   318;90,3;9,8
2104628;Governador Luiz Rocha;  1 892;43,4;56,5;   225;28,4;71,6;  1 191;31,9;68,0;   476;79,2;20,6
2104701;Graça Aranha;  1 698;71,8;28,1;   205;65,4;34,6;  1 011;62,6;37,4;   482;93,8;5,8
2105450;Jatobá;  2 138;74,3;25,7;   262;65,3;34,7;  1 440;70,8;29,2;   436;91,3;8,7
2105948;Lago dos Rodrigues;  2 061;51,7;48,2;   227;28,6;71,4;  1 256;42,8;57,3;   578;80,3;19,4
2105989;Lajeado Novo;  1 831;57,3;42,6;   229;41,1;59,0;  1 144;49,5;50,5;   458;84,9;14,4
2106201;Luís Domingues;  1 587;57,6;42,4;   129;47,3;52,7;   987;46,8;53,2;   471;83,0;17,0
2106359;Marajá do Sena;  1 759;77,4;22,5;   190;75,3;24,2;  1 291;74,7;25,3;   278;91,7;8,3
2106672;Milagres do Maranhão;  1 799;57,1;42,9;   158;50,6;49,4;  1 306;50,9;49,1;   335;84,2;15,8
2107001;Montes Altos;  2 388;64,1;35,8;   271;44,7;55,4;  1 417;57,3;42,6;   700;85,4;14,4
2109056;Porto Rico do Maranhão;  1 560;57,8;42,1;   151;43,7;56,3;   880;42,8;57,2;   529;86,8;13,0
2109239;Presidente Médici;  1 473;47,4;52,5;   146;27,4;71,9;   886;37,9;62,1;   441;73,0;26,8
2109551;Ribamar Fiquene;  1 896;62,3;37,7;   216;52,3;47,7;  1 174;51,9;48,1;   506;90,7;9,1
2109700;Sambaíba;  1 369;70,3;29,7;   161;64,6;35,4;   823;65,3;34,6;   385;83,4;16,6
2109759;Santa Filomena do Maranhão;  1 752;47,7;52,3;   208;37,0;63,0;  1 198;40,8;59,2;   346;78,0;22,0
2110658;São Domingos do Azeitão;  1 679;62,6;37,4;   140;52,1;47,9;  1 068;52,9;47,1;   471;87,7;12,3
2111250;São José dos Basílios;  1 868;52,0;48,0;   193;37,3;62,7;  1 200;44,1;55,9;   475;77,9;22,1
2111631;São Raimundo do Doca Bezerra;  1 396;59,1;40,8;   126;45,2;54,8;  1 013;54,7;45,3;   257;83,3;16,3
2111672;São Roberto;  1 316;53,7;46,2;   93;34,4;65,6;   952;46,1;53,9;   271;87,1;12,6
2112001;Tasso Fragoso;  1 936;39,9;60,1;   177;14,1;85,9;  1 192;24,6;75,4;   567;80,1;19,9
2112274;Tufilândia;  1 373;61,9;38,1;   130;50,0;50,0;   811;50,9;49,1;   432;86,1;13,9
;De 10.001 a 20.000 ;  306 258;64,6;35,4;  29 127;53,6;46,4;  191 128;56,2;43,8;  86 003;86,9;13,0
2100154;Água Doce do Maranhão;  2 728;52,7;47,3;   239;43,1;56,9;  1 878;43,2;56,8;   611;85,6;14,2
2100402;Altamira do Maranhão;  2 635;82,8;17,2;   194;92,8;7,2;  1 814;78,2;21,8;   627;92,8;7,2
2100501;Alto Parnaíba;  2 636;49,9;50,1;   249;31,7;68,3;  1 423;35,8;64,2;   964;75,5;24,5
2100808;Anapurus;  3 326;58,6;41,4;   303;41,6;58,4;  2 174;50,6;49,4;   849;85,2;14,8
