;Tabela 3 - Pessoas de 15 anos ou mais de idade que não sabem ler e escrever, total e respectivas;;;;;;;;;;
;taxas de analfabetismo, por cor ou raça e grupos de idade, segundo os municípios e as ;;;;;;;;;;
; classes de tamanho da população dos municípios - Maranhão - 2010;;;;;;;;;;
;;;;;;;;;;;(continuação)
Código do município;"Municípios e
classes de tamanho da
população dos municípios
(habitantes)";"Pessoas de 15 anos ou mais de idade que não sabem ler e escrever,
total e respectivas taxas de analfabetismo, por grupos de idade (%)";;;;;;;;;
;;15 anos ou mais;;15 a 24 anos;;25 a 39 anos;;40 a 59 anos;;60 anos ou mais;
;;Total;"Taxa
(%)";Total;"Taxa
(%)";Total;"Taxa
(%)";Total;"Taxa
(%)";Total;"Taxa
(%)"
;Branca;;;;;;;;;;
2104628;Governador Luiz Rocha;   211;27,1;   19;8,6;   53;20,7;   62;34,4;   77;63,6
2104701;Graça Aranha;   222;24,5;   17;6,1;   38;14,7;   68;31,2;   99;65,1
2105450;Jatobá;   315;29,6;   29;8,5;   87;25,3;   107;46,5;   92;62,6
2105948;Lago dos Rodrigues;   358;26,7;   23;6,1;   74;17,3;   119;37,4;   142;64,8
2105989;Lajeado Novo;   189;14,9;   10;2,9;   36;9,0;   66;20,2;   77;38,1
2106201;Luís Domingues;   130;16,5;   18;6,9;   35;14,3;   43;24,4;   34;31,8
2106359;Marajá do Sena;   299;37,0;   43;16,4;   114;39,5;   91;49,7;   51;69,9
2106672;Milagres do Maranhão;   357;29,7;   33;8,9;   97;25,4;   122;45,2;   105;59,7
2107001;Montes Altos;   257;15,6;   12;2,9;   47;9,4;   85;19,3;   113;38,7
2109056;Porto Rico do Maranhão;   71;10,7;   4;2,8;   5;2,4;   16;9,1;   46;34,3
2109239;Presidente Médici;   137;20,7;   7;3,8;   16;7,2;   62;37,6;   52;57,8
2109551;Ribamar Fiquene;   226;17,6;   5;1,4;   40;10,2;   81;24,3;   100;54,6
2109700;Sambaíba;   63;17,0;   7;7,1;   12;11,2;   20;18,9;   24;40,0
2109759;Santa Filomena do Maranhão;   340;28,3;   18;5,1;   103;25,0;   121;43,2;   98;63,2
2110658;São Domingos do Azeitão;   280;22,5;   25;7,2;   61;17,2;   93;27,5;   101;50,0
2111250;São José dos Basílios;   256;30,3;   16;6,6;   57;22,1;   87;43,3;   96;67,1
2111631;São Raimundo do Doca Bezerra;   231;32,2;   32;13,3;   75;31,0;   72;45,0;   52;69,3
2111672;São Roberto;   275;30,6;   25;9,4;   100;30,3;   87;41,8;   63;67,0
2112001;Tasso Fragoso;   112;14,4;   10;4,7;   17;6,5;   30;15,6;   55;48,3
2112274;Tufilândia;   146;27,1;   7;4,5;   34;19,9;   48;39,0;   57;64,8
;De 10.001 a 20.000 ;  38 065;23,0;  2 986;6,2;  9 161;17,1;  12 581;31,8;  13 337;54,8
2100154;Água Doce do Maranhão;   608;33,8;   72;12,7;   177;30,5;   160;44,0;   199;69,8
2100402;Altamira do Maranhão;   443;32,7;   39;9,9;   136;30,2;   139;43,2;   129;68,6
2100501;Alto Parnaíba;   123;13,2;   10;3,9;   18;7,4;   41;14,4;   54;36,7
2100808;Anapurus;   373;24,2;   23;5,1;   105;20,2;   136;36,2;   109;56,8
2100832;Apicum-Açu;   281;17,2;   25;4,8;   71;13,1;   104;26,8;   81;43,1
2100873;Araguanã;   310;19,5;   17;4,1;   68;12,1;   108;26,7;   117;54,7
2101103;Axixá;   133;10,4;   9;2,3;   23;5,8;   45;15,6;   56;27,5
2101251;Bacabeira;   374;15,4;   28;3,5;   76;9,5;   123;21,9;   147;52,7
2101301;Bacuri;   248;19,3;   13;3,8;   59;14,5;   67;22,1;   109;46,6
2101509;Barão de Grajaú;   521;18,6;   21;2,9;   81;9,7;   179;24,9;   240;46,2
2101772;Bela Vista do Maranhão;   528;27,2;   42;7,3;   95;16,4;   184;39,0;   207;67,0
2102077;Bom Lugar;   701;29,2;   41;6,5;   171;19,6;   283;47,7;   206;68,9
2102358;Buritirana;   459;22,7;   34;6,2;   112;16,5;   131;28,4;   182;54,5
2102408;Cajapió;   206;19,7;   31;9,6;   61;16,7;   67;29,1;   47;36,4
2102507;Cajari;   265;15,6;   23;4,6;   70;12,5;   75;19,1;   97;39,9
2102556;Campestre do Maranhão;   397;18,2;   22;3,4;   78;10,6;   170;31,6;   127;49,6
2102606;Cândido Mendes;   397;18,5;   49;7,0;   96;14,1;   120;24,7;   132;47,3
2102754;Capinzal do Norte;   370;25,7;   17;4,6;   81;18,4;   123;33,4;   149;56,0
2103109;Cedral;   146;11,3;   7;2,2;   29;6,6;   51;15,6;   59;28,8
2103158;Centro do Guilherme;   447;25,2;   50;8,8;   100;16,0;   188;45,2;   109;66,5
2103174;Centro Novo do Maranhão;   428;21,1;   34;5,6;   114;14,7;   168;36,2;   112;61,9
2103257;Cidelândia;   375;19,5;   26;4,9;   77;12,0;   116;25,2;   156;53,8
2103554;Conceição do Lago-Açu;   551;30,4;   66;11,5;   177;27,7;   176;45,0;   132;62,6
2103752;Davinópolis;   352;19,5;   21;4,2;   60;9,9;   109;26,8;   162;55,3
2103901;Duque Bacelar;   242;26,8;   25;7,7;   51;20,5;   90;43,5;   76;61,3
2104008;Esperantinópolis;   769;25,0;   53;5,7;   197;20,6;   251;34,2;   268;58,0
2104099;Formosa da Serra Negra;   363;11,7;   27;2,6;   97;9,1;   121;17,9;   118;37,5
2104107;Fortaleza dos Nogueiras;   206;10,6;   13;2,2;   33;5,5;   60;12,6;   100;37,3
2104206;Fortuna;   620;26,2;   32;4,9;   140;20,5;   195;32,7;   253;57,8
2104305;Godofredo Viana;   179;13,9;   17;4,1;   38;9,1;   70;21,5;   54;41,5
2104404;Gonçalves Dias;   812;28,4;   53;7,2;   185;21,1;   266;36,3;   308;60,8
2104503;Governador Archer;   273;23,9;   18;6,0;   79;21,1;   84;29,3;   92;50,3
2104552;Governador Edison Lobão;   369;14,9;   15;2,2;   74;8,7;   134;22,8;   146;42,2
2104602;Governador Eugênio Barros;   566;30,8;   38;7,4;   129;23,9;   203;42,9;   196;63,4
2104651;Governador Newton Bello;   290;29,2;   30;9,5;   83;26,0;   92;40,5;   85;64,9
2104909;Guimarães;   165;14,8;   10;3,8;   24;7,4;   52;18,1;   79;32,9
2105153;Igarapé do Meio;   376;26,5;   30;6,6;   89;20,0;   122;38,1;   135;68,5
2105203;Igarapé Grande;   503;24,6;   34;6,3;   113;17,4;   189;35,8;   167;51,9
2105351;Itaipava do Grajaú;   479;29,0;   51;9,1;   154;28,2;   151;42,1;   123;65,4
2105476;Jenipapo dos Vieiras;   355;26,5;   25;6,0;   104;22,9;   114;38,1;   112;64,7
2105609;Joselândia;   637;29,8;   51;8,6;   182;26,1;   187;38,6;   217;60,3
2105807;Lago do Junco;   553;32,1;   39;7,8;   148;27,3;   219;47,6;   147;65,6
2105906;Lago Verde;   589;28,8;   33;5,4;   147;21,1;   222;48,8;   187;67,0
2105922;Lagoa do Mato;   464;28,5;   34;7,7;   124;22,6;   157;40,0;   149;60,3
2105963;Lagoa Grande do Maranhão;   357;31,0;   52;13,3;   115;30,5;   116;43,8;   74;62,7
2106003;Lima Campos;   583;27,1;   35;6,7;   134;21,0;   199;32,1;   215;57,8
2106102;Loreto;   245;17,4;   17;4,0;   44;10,4;   64;18,4;   120;56,9
2106300;Magalhães de Almeida;   689;24,7;   62;7,2;   193;20,4;   215;35,7;   219;57,3
2106326;Maracaçumé;   494;20,6;   44;5,6;   120;16,1;   139;26,1;   191;56,5
2106375;Maranhãozinho;   378;21,0;   31;5,9;   85;14,0;   136;29,4;   126;64,6
2106409;Mata Roma;   250;19,7;   22;5,6;   59;14,0;   77;26,6;   92;55,8
2106631;Matões do Norte;   355;28,0;   28;7,5;   93;20,5;   134;46,7;   100;66,2
2106805;Mirinzal;   124;13,4;   9;4,1;   21;6,9;   38;14,6;   56;39,7
2107100;Morros;   379;25,3;   34;6,6;   120;25,1;   125;40,2;   100;52,9
2107209;Nina Rodrigues;   284;20,4;   30;6,4;   67;14,3;   89;30,5;   98;62,8
