;Tabela 2 - População residente, total e respectiva distribuição percentual, ;;;;;;;;
; por situação do domicílio e grupos de idade, segundo os municípios e;;;;;;;;
;as classes de tamanho da população dos municípios - Maranhão - 2010;;;;;;;;
;;;;;;;;(continuação);
Código do Município;Municípios e classes de tamanho da população dos municípios (habitantes);População residente;;;;;;;
;;Total;Distribuição percentual, por grupos de idade (%);;;;;;
;;;0 a 5 anos;6 a 14 anos;15 a 24 anos;25 a 39 anos;40 a 59 anos;60 anos ou mais;
2102606;Cândido Mendes;  11 911;12,0;19,2;22,2;22,0;15,4;9,3;
2102754;Capinzal do Norte;  5 610;10,4;17,2;18,3;23,0;17,9;13,1;
2103109;Cedral;  2 397;10,6;18,1;18,4;24,0;18,2;10,6;
2103158;Centro do Guilherme;  7 072;11,9;19,7;24,4;22,9;15,7;5,5;
2103174;Centro Novo do Maranhão;  5 522;13,8;24,3;21,5;20,6;12,9;6,9;
2103257;Cidelândia;  6 036;12,1;20,1;19,8;22,7;16,7;8,6;
2103554;Conceição do Lago-Açu;  6 869;14,7;22,7;19,2;22,4;14,3;6,7;
2103752;Davinópolis;  10 487;12,4;21,3;19,8;21,4;15,9;9,3;
2103901;Duque Bacelar;  5 340;13,6;21,8;20,2;21,0;14,7;8,7;
2104008;Esperantinópolis;  10 035;11,0;17,6;20,0;21,6;18,7;11,1;
2104099;Formosa da Serra Negra;  5 915;10,4;20,3;24,9;23,2;13,9;7,2;
2104107;Fortaleza dos Nogueiras;  7 019;11,2;20,7;22,1;23,1;14,8;8,2;
2104206;Fortuna;  9 504;11,6;19,2;18,8;20,5;18,3;11,5;
2104305;Godofredo Viana;  6 723;11,5;18,4;21,8;23,9;17,0;7,5;
2104404;Gonçalves Dias;  7 770;10,4;18,2;19,0;20,5;19,2;12,8;
2104503;Governador Archer;  6 630;10,8;17,8;20,0;21,3;18,4;11,7;
2104552;Governador Edison Lobão;  6 957;12,5;20,5;19,8;23,4;16,2;7,6;
2104602;Governador Eugênio Barros;  4 690;12,1;17,7;18,3;21,8;18,4;11,8;
2104651;Governador Newton Bello;  4 291;12,7;19,7;21,3;20,6;15,1;10,7;
2104909;Guimarães;  6 909;10,1;17,7;19,9;22,0;18,3;12,1;
2105153;Igarapé do Meio;  6 207;13,7;19,2;20,9;21,8;15,0;9,4;
2105203;Igarapé Grande;  6 664;11,1;18,0;19,6;21,4;18,5;11,5;
2105351;Itaipava do Grajaú;  4 296;15,0;21,5;22,1;19,3;15,0;7,1;
2105476;Jenipapo dos Vieiras;  2 519;11,6;17,9;19,8;22,8;17,9;10,1;
2105609;Joselândia;  5 960;10,3;18,0;19,9;22,0;18,3;11,6;
2105807;Lago do Junco;  3 913;11,4;19,5;19,7;21,5;17,7;10,3;
2105906;Lago Verde;  5 052;12,2;21,1;19,1;21,5;16,1;10,0;
2105922;Lagoa do Mato;  4 453;11,5;19,9;21,4;23,2;15,9;8,3;
2105963;Lagoa Grande do Maranhão;  5 499;13,7;22,9;20,7;19,8;15,1;7,7;
2106003;Lima Campos;  6 793;9,3;17,0;18,3;21,4;21,2;12,9;
2106102;Loreto;  6 360;10,6;19,4;22,2;20,0;17,6;10,3;
2106300;Magalhães de Almeida;  8 963;11,9;18,9;20,5;23,0;16,2;9,5;
2106326;Maracaçumé;  15 829;14,2;21,6;20,4;21,1;14,8;7,9;
2106375;Maranhãozinho;  9 020;8,8;18,4;23,2;23,3;18,9;7,4;
2106409;Mata Roma;  7 132;12,5;19,3;20,8;22,5;16,2;8,8;
2106631;Matões do Norte;  4 679;12,4;22,9;19,6;24,1;13,5;7,5;
2106805;Mirinzal;  9 031;11,3;19,8;19,3;22,8;17,2;9,6;
2107100;Morros;  6 720;10,7;19,2;23,4;21,9;15,2;9,6;
2107209;Nina Rodrigues;  4 439;12,6;21,3;22,9;20,5;14,1;8,6;
2107357;Nova Olinda do Maranhão;  11 862;11,6;20,4;21,1;21,9;15,5;9,5;
2107407;Olho d'Água das Cunhãs;  9 592;10,3;17,7;19,6;23,2;18,4;10,8;
