;Tabela 9 - Valor médio e mediano do rendimento mensal total nominal das pessoas;;;;;;
;de 10 anos ou mais de idade, residentes em domicílios particulares permanentes,  por sexo, ;;;;;;
;e razão entre valor médio e mediano do rendimento mensal total nominal de homens e mulheres, ;;;;;;
;segundo os municípios e classes de tamanho da população dos municípios - Maranhão - 2010;;;;;;
;;;;;;;
Código do município;Municípios e classes de tamanho da população dos municípios (habitantes);Valor médio e mediano do rendimento mensal total nominal, por sexo (R$);;;;Razão entre valor médio e mediano do rendimento mensal total nominal de homens e mulheres;
;;Médio;;Mediano;;"Médio
(A/B)";"Mediano
(C/D)"
;;"Homem
(A)";"Mulher
(B)";"Homem
(C)";"Mulher
(D)";;
;               Maranhão;808;575;510;510;1,4;1,0
;Até 5.000 ;646;423;510;301;1,5;1,7
2105658;Junco do Maranhão;526;415;510;378;1,3;1,4
2107258;Nova Colinas;639;391;510;200;1,6;2,6
2107308;Nova Iorque;559;396;510;248;1,4;2,1
2110807;São Félix de Balsas;1026;527;510;345;2,0;1,5
2111573;São Pedro dos Crentes;625;417;500;350;1,5;1,4
2111953;Sucupira do Riachão;515;388;500;332;1,3;1,5
;De 5.001 a 10.000 ;539;388;510;280;1,4;1,8
2100105;Afonso Cunha;549;360;510;250;1,5;2,0
2100550;Amapá do Maranhão;519;349;450;200;1,5;2,3
2101350;Bacurituba;449;348;510;260;1,3;2,0
2101731;Belágua;500;330;371;154;1,5;2,4
2101806;Benedito Leite;730;429;510;510;1,7;1,0
2101939;Bernardo do Mearim;513;441;510;510;1,2;1,0
2101970;Boa Vista do Gurupi;535;396;500;300;1,4;1,7
2102150;Brejo de Areia;496;392;400;300;1,3;1,3
2102374;Cachoeira Grande;430;342;400;167;1,3;2,4
2103125;Central do Maranhão;434;357;400;250;1,2;1,6
2104073;Feira Nova do Maranhão;540;383;510;167;1,4;3,1
2104081;Fernando Falcão;409;306;400;134;1,3;3,0
2104628;Governador Luiz Rocha;486;384;450;275;1,3;1,6
2104701;Graça Aranha;485;407;510;312;1,2;1,6
2105450;Jatobá;465;380;460;167;1,2;2,8
2105948;Lago dos Rodrigues;512;431;500;460;1,2;1,1
2105989;Lajeado Novo;661;355;510;200;1,9;2,6
2106201;Luís Domingues;540;391;400;270;1,4;1,5
2106359;Marajá do Sena;379;310;250;135;1,2;1,9
2106672;Milagres do Maranhão;384;308;350;134;1,3;2,6
2107001;Montes Altos;603;524;510;340;1,2;1,5
2109056;Porto Rico do Maranhão;411;374;300;300;1,1;1,0
2109239;Presidente Médici;497;418;510;510;1,2;1,0
2109551;Ribamar Fiquene;839;508;510;510;1,7;1,0
2109700;Sambaíba;789;424;510;420;1,9;1,2
2109759;Santa Filomena do Maranhão;494;330;510;167;1,5;3,1
2110658;São Domingos do Azeitão;842;459;510;510;1,8;1,0
2111250;São José dos Basílios;498;326;510;134;1,5;3,8
2111631;São Raimundo do Doca Bezerra;507;372;510;300;1,4;1,7
2111672;São Roberto;458;328;395;200;1,4;2,0
2112001;Tasso Fragoso;754;522;510;510;1,5;1,0
2112274;Tufilândia;535;380;510;386;1,4;1,3
;De 10.001 a 20.000 ;536;392;510;300;1,4;1,7
2100154;Água Doce do Maranhão;517;377;510;281;1,4;1,8
2100402;Altamira do Maranhão;489;362;500;200;1,4;2,5
2100501;Alto Parnaíba;1216;593;510;510;2,1;1,0
2100808;Anapurus;590;417;510;400;1,4;1,3
2100832;Apicum-Açu;409;355;300;200;1,2;1,5
2100873;Araguanã;428;337;400;200;1,3;2,0
2101103;Axixá;453;439;400;434;1,0;0,9
2101251;Bacabeira;618;391;510;200;1,6;2,6
2101301;Bacuri;460;405;363;300;1,1;1,2
2101509;Barão de Grajaú;697;456;510;500;1,5;1,0
2101772;Bela Vista do Maranhão;486;363;500;300;1,3;1,7
2102077;Bom Lugar;406;327;400;200;1,2;2,0
2102358;Buritirana;533;362;510;180;1,5;2,8
2102408;Cajapió;439;324;500;145;1,4;3,5
2102507;Cajari;406;351;400;250;1,2;1,6
2102556;Campestre do Maranhão;856;548;510;510;1,6;1,0
2102606;Cândido Mendes;431;352;300;162;1,2;1,9
2102754;Capinzal do Norte;512;399;510;361;1,3;1,4
2103109;Cedral;381;367;255;200;1,0;1,3
2103158;Centro do Guilherme;579;359;500;270;1,6;1,9
2103174;Centro Novo do Maranhão;641;355;510;200;1,8;2,6
2103257;Cidelândia;644;423;510;460;1,5;1,1
2103554;Conceição do Lago-Açu;365;319;250;142;1,2;1,8
2103752;Davinópolis;609;445;510;510;1,4;1,0
2103901;Duque Bacelar;526;387;510;234;1,4;2,2
2104008;Esperantinópolis;572;426;510;360;1,3;1,4
2104099;Formosa da Serra Negra;543;385;500;300;1,4;1,7
2104107;Fortaleza dos Nogueiras;751;495;510;510;1,5;1,0
2104206;Fortuna;621;459;510;400;1,4;1,3
2104305;Godofredo Viana;514;403;490;280;1,3;1,8
2104404;Gonçalves Dias;572;397;510;250;1,4;2,0
2104503;Governador Archer;562;441;510;400;1,3;1,3
2104552;Governador Edison Lobão;630;439;510;510;1,4;1,0
2104602;Governador Eugênio Barros;535;399;510;212;1,3;2,4
2104651;Governador Newton Bello;400;330;300;162;1,2;1,9
2104909;Guimarães;415;366;300;200;1,1;1,5
2105153;Igarapé do Meio;516;386;510;230;1,3;2,2
2105203;Igarapé Grande;555;437;500;356;1,3;1,4
2105351;Itaipava do Grajaú;512;314;460;150;1,6;3,1
2105476;Jenipapo dos Vieiras;528;367;510;342;1,4;1,5
2105609;Joselândia;536;388;500;300;1,4;1,7
2105807;Lago do Junco;471;389;400;255;1,2;1,6
2105906;Lago Verde;459;361;510;200;1,3;2,6
2105922;Lagoa do Mato;526;348;510;171;1,5;3,0
2105963;Lagoa Grande do Maranhão;541;340;510;200;1,6;2,6
2106003;Lima Campos;594;461;510;510;1,3;1,0
2106102;Loreto;598;406;510;300;1,5;1,7
2106300;Magalhães de Almeida;547;377;500;290;1,5;1,7
2106326;Maracaçumé;596;424;510;300;1,4;1,7
2106375;Maranhãozinho;482;340;460;200;1,4;2,3
2106409;Mata Roma;516;419;500;400;1,2;1,3
2106631;Matões do Norte;462;326;480;200;1,4;2,4
2106805;Mirinzal;524;439;510;480;1,2;1,1
2107100;Morros;479;406;450;250;1,2;1,8
2107209;Nina Rodrigues;509;389;510;200;1,3;2,6
2107357;Nova Olinda do Maranhão;513;396;490;360;1,3;1,4
2107407;Olho d'Água das Cunhãs;576;413;510;360;1,4;1,4
2107456;Olinda Nova do Maranhão;457;363;510;160;1,3;3,2
2107605;Palmeirândia;436;345;500;273;1,3;1,8
2107902;Passagem Franca;544;392;510;280;1,4;1,8
2108009;Pastos Bons;626;423;510;300;1,5;1,7
2108058;Paulino Neves;526;378;510;300;1,4;1,7
2108405;Peri Mirim;530;364;510;300;1,5;1,7
2108801;Pirapemas;504;381;510;300;1,3;1,7
2108900;Poção de Pedras;508;439;400;300;1,2;1,3
2109205;Presidente Juscelino;460;367;510;167;1,3;3,1
2109270;Presidente Sarney;470;340;510;300;1,4;1,7
2109304;Presidente Vargas;410;382;300;200;1,1;1,5
2109403;Primeira Cruz;397;337;250;200;1,2;1,3
2110237;Santana do Maranhão;519;329;510;166;1,6;3,1
2110278;Santo Amaro do Maranhão;411;346;350;200;1,2;1,8
2110302;Santo Antônio dos Lopes;573;431;500;423;1,3;1,2
2110401;São Benedito do Rio Preto;497;373;400;270;1,3;1,5
2110856;São Francisco do Brejão;638;450;510;510;1,4;1,0
2110906;São Francisco do Maranhão;518;364;510;250;1,4;2,0
2111003;São João Batista;476;350;510;200;1,4;2,6
2111029;São João do Carú;461;347;450;220;1,3;2,1
2111052;São João do Paraíso;575;397;500;300;1,5;1,7
2111078;São João do Soter;460;337;510;200;1,4;2,6
2111532;São Pedro da Água Branca;677;439;510;356;1,5;1,4
2111607;São Raimundo das Mangabeiras;696;491;510;510;1,4;1,0
2111722;Satubinha;386;288;300;134;1,3;2,2
2111748;Senador Alexandre Costa;494;376;510;300;1,3;1,7
2111763;Senador La Rocque;570;442;510;500;1,3;1,0
